0,1,2,3,4,5,6,7,8,9,10,11
State Code,County Code,Site Number,POC WS,POC WD,POC TEMP,POC PM10,Latitude,Longitude,State Name,County Name,City Name
47.0,157.0,75.0,1.0,1.0,1.0,3.0,35.151699,-89.850249,Tennessee,Shelby,Memphis
48.0,29.0,1087.0,1.0,1.0,1.0,1.0,29.635,-98.4177,Texas,Bexar,Not in a City
48.0,113.0,50.0,1.0,1.0,1.0,1.0,32.774262,-96.797686,Texas,Dallas,Dallas
48.0,113.0,50.0,nan,nan,nan,2.0,32.774262,-96.797686,Texas,Dallas,Dallas
48.0,141.0,29.0,2.0,2.0,2.0,1.0,31.785769,-106.323578,Texas,El Paso,El Paso
48.0,141.0,57.0,1.0,1.0,1.0,1.0,31.6675,-106.288,Texas,El Paso,El Paso
48.0,141.0,57.0,nan,nan,nan,2.0,31.6675,-106.288,Texas,El Paso,El Paso
48.0,141.0,693.0,1.0,1.0,1.0,1.0,31.81337,-106.46452,Texas,El Paso,El Paso
48.0,201.0,46.0,2.0,2.0,2.0,2.0,29.828086,-95.284096,Texas,Harris,Houston
48.0,201.0,1035.0,1.0,1.0,1.0,1.0,29.733726,-95.257593,Texas,Harris,Houston
48.0,201.0,1035.0,nan,nan,nan,2.0,29.733726,-95.257593,Texas,Harris,Houston
48.0,215.0,43.0,1.0,1.0,1.0,2.0,26.22621,-98.291069,Texas,Hidalgo,Mission
48.0,355.0,34.0,1.0,1.0,1.0,1.0,27.811817,-97.465703,Texas,Nueces,Corpus Christi
48.0,453.0,20.0,1.0,1.0,1.0,1.0,30.483163,-97.875084,Texas,Travis,Leander
48.0,453.0,21.0,1.0,1.0,1.0,1.0,30.263204,-97.712891,Texas,Travis,Austin
48.0,479.0,17.0,1.0,1.0,1.0,1.0,27.501826,-99.502984,Texas,Webb,Laredo
51.0,87.0,14.0,1.0,1.0,1.0,1.0,37.55652,-77.40027,Virginia,Henrico,East Highland Park
51.0,87.0,14.0,nan,nan,nan,3.0,37.55652,-77.40027,Virginia,Henrico,East Highland Park
53.0,5.0,2.0,1.0,1.0,1.0,5.0,46.21835,-119.204153,Washington,Benton,Kennewick
53.0,33.0,80.0,1.0,1.0,1.0,2.0,47.568236,-122.308628,Washington,King,Seattle
53.0,65.0,5.0,1.0,1.0,1.0,5.0,48.544448,-117.903425,Washington,Stevens,Colville
53.0,71.0,6.0,1.0,1.0,1.0,5.0,46.199901,-119.008329,Washington,Walla Walla,Burbank
